,strain_name,strain_desc,strain_type,strain_percent_indica,strain_percent_sativa,strain_thc_percent,strain_flavors,strain_effects
10,Bandana,Bandana is a sativa dominant hybrid (70% sativa/30% indica) strain created through a cross of either the popular,Sativa Dominant Hybrid,30% Indica,70% Sativa,5.0,Earthy Coffee Citrus Sweet Banana,Creative Energizing Euphoria Happy Creative Energizing Euphoria Happy
11,Sour Diesel,"Sour Diesel, otherwise known as ""Sour D"" or ""Sour Deez"" is a sativa dominant hybrid strain with a 90:10 sativa/indica ratio. The origin of Sour Diesel is frequently debated within the marijuana community. Some say it's a cross between mass super skunk and 91 Chemdog, while others claim that it's a cross between Mexican sativa and a Chemdog phenotype. Either way, you can undoubtedly look forward to a high like no other. Couch lock and a ""heavy feeling"" aren't a factor when smoking sour diesel. Instead, you can expect an invigorating cerebral high that open up doors of creativity. This strain is commonly used amongst medical patients to relieve anxiety, depression, and chronic fatigue. Although sour diesel consists of some indicia, it's not the best strain for insomnia and other similar ailments because of the stimulating and lively head high that it delivers. Due to the effervescent contained within this strain, many people choose to smoke sour diesel at the beginning of their day for a head start. The potency of this strain is just enough to give you a great high and become your daily toke. The word ""diesel"" in sour diesel didn't come out of absolutely nowhere. This strain has one of the most pungent aromas of any strain, similar to Diesel Gas with a hint of lemon. You can expect a smooth toke with a slight lemon aftertaste. The appearance of sour diesel is composed of dense light green mug covered in orange hairs.",Sativa Dominant Hybrid,10% Indica,90% Sativa,26.0,Citrus Sweet Diesel Candy Dank Skunky,Creative Energizing Euphoria Happy Uplifting Creative Energizing Euphoria Happy Uplifting
12,Banana OG,The smell of banana peels and Christmas pine trees is what you get with Banana OG. The taste is also like bananas and some people report a cinnamon taste. This is an Indica dominant cross 70:30 Indica/Sativa hybrid between Banana X,Indica Dominant Hybrid,70% Indica,30% Sativa,25.0,Sweet Tropical Fruity Skunky Woody,Body High Euphoria Happy Relaxing Sleepy Body High Euphoria Happy Relaxing Sleepy
13,Godfather OG Kush,"Godfather OG Kush, also known as “Godfather OG,” is often called the “Don” of all of the OG strains due to its powerful effects and powerful THC level of 22-28% on average. This bud is created through a cross of the potent",Hybrid,50% Indica,50% Sativa,25.0,Earthy Pungent Spicy Skunky Pepper Pine,Relaxing Relaxing
14,Marmalade,Marmalade is a rare evenly balanced hybrid strain (50% indica/50% sativa) created through crossing the delicious,Hybrid,50% Indica,50% Sativa,23.0,Earthy Cheese Sweet Sour Fruity Berry Skunky Honey Pungent,Creative Energizing Euphoria Tingly Uplifting Creative Energizing Euphoria Tingly Uplifting
15,Cherry Pie,"Cherry Pie is a indica dominant hybrid of Grand Daddy Purp and Duban Poison. Although it is hard to find the authentic version of this particular medical marijuana strain, it definitely will not be hard to believe that this is the best type of strain. In structural composition, it has dense buds with orange hair all over and displays a slight tint of purple. Inspiring the name of this medical marijuana strain, the aroma is that of cherry pies. It is most commonly used by patients who are suffering from evident symptoms of PTSD, anxiety, bipolar disorder, migraines and other stress-oriented syndromes. Although it may cause dry eyes and mouth upon use by the patient, it definitely helps in elevating the level of euphoria, relaxing body and mind, uplifting moods and focusing the conscience. For patients who are specially looking for something that would ease muscle stiffness and related ailments, this can definitely prove its rescuing ability. Conclusively, this is the best kind of medically favorable marijuana strain that patients prefer above all others; it diminishes the above mentioned syndromes in the most relaxing order and even though sedation may cause irritation, but its value is still undeniable.",Indica Dominant Hybrid,80% Indica,20% Sativa,20.0,Earthy Sweet Blueberry Cherry Berry,Creative Euphoria Happy Relaxing Creative Euphoria Happy Relaxing
16,Vanilla Kush,"This appropriately named Dutch strain has THC levels that can reach upwards of 20%, making for a relaxed body high that can be too powerful for some new users. Experienced tokers, however, can usually summon enough energy to be active despite the high. Euphoria and happiness are also common with Vanilla Kush. This strain is good for mental conditions and arthritis pain. Not surprisingly, it tastes and smells of vanilla, with sweet lavender notes. The bud has a light green appearance that is also reminiscent of vanilla. Dry mouth is likely, though other adverse affects are mild. Vanilla Kush is mostly indica (30:70 sativa/indica ratio), and it descends from a Kashmiri Hash Plant and an Afghani Kush. It's most popular in Colorado and Oregon, though it can be found elsewhere. Vanilla Kush is easy to cultivate, making it an ideal choice for patients who grow at home, and it produces a high yield. Due to its powerful high, newcomers and occasional smokers might do well to avoid this strain. But it's perfect for anyone in search of a nice, soothing body high.",Indica Dominant Hybrid,70% Indica,30% Sativa,19.5,Citrus Sweet Floral Lavender Creamy Vanilla,Euphoria Happy Relaxing Sleepy Euphoria Happy Relaxing Sleepy
17,Ace of Spades,"The ace of spades may be the death card, but the marijuana strain that bears its name is anything but. Instead, it offers health and healing, especially for patients who suffer from depression, anxiety, multiple sclerosis and muscle spasms, chronic pain, insomnia, and stress. Ace of Spades is an indica-dominant hybrid with a sativa/indica ratio of no more than 30:70. The high affects both body and mind, but this strain leans toward the physical. Expect a deep relaxed feeling in the muscles, strong euphoria, a burst of creativity, and a giggly, happy sensation. Ace of Spades is a cross of Black Cherry and",Indica Dominant Hybrid,40% Indica,60% Sativa,17.0,Earthy Citrus Sweet Sour Berry,Creative Euphoria Giggly Happy Relaxing Creative Euphoria Giggly Happy Relaxing
18,Gorilla Glue #4,"Gorilla Glue #4 is a very potent strain of cannabis, mainly grown in Colorado. The genetic makeup is a mix of Chocolate Diesel with Sour Dub and Chem Sister. The smell of diesel is strong but the taste is similar to coffee that has gone stale. The smell is extremely strong, one of the strongest strains. This is why it is mainly grown indoors. The THC level is about 25-28%. This marijuana plant is light green in color. When it is ready to be harvested, the leaves look like they have snow or salt on them. They offer a high yield of THC. Gorilla Glue #4 is a indica dominant hybrid strain. This type of cannabis is often used by those that feel a need to self-medicate. It can help with reducing chronic pain such as arthritis and chronic back pain. It is also used for the treatment of Obsessive Compulsive Disorder (OCD).",Indica Dominant Hybrid,60% Indica,40% Sativa,26.5,Coffee Sweet Chemical Diesel Sour Pine Chocolate,Body High Cerebral Energizing Euphoria Happy Uplifting Body High Cerebral Energizing Euphoria Happy Uplifting
19,Blue Dream,Blue Dream is a slightly sativa dominant hybrid (60% sativa/40% indica) strain that is a potent cross between the hugely popular,Sativa Dominant Hybrid,40% Indica,60% Sativa,20.5,Earthy Sweet Blueberry Herbal Fruity Berry Vanilla,Creative Energizing Euphoria Happy Creative Energizing Euphoria Happy
20,Destroyer,"Destroyer is a rare 100% pure sativa strain created through crossing a Meao Thai with a Mexican/Colombian cross. This bud gets its name from its bad mood destroying effects that take on mental aches and pains with ease. Destroyer smashes into your mind with a vengeance after your first few hits, launching you into giddy euphoria with an increase in energy to go with it. You’ll feel a lifted sense of artistic inspiration that’s slightly unfocused at times. As your mind fades in and out of pure hazy bliss, you may start to experience colorful psychoactive effects, which can prove to be too much for those users who suffer from anxiety or paranoia. Thanks to these effects and its moderate 10-15% average THC level, Destroyer is said to be perfect for treating conditions such as depression, cramps or muscle spasms, chronic fatigue, insomnia, and chronic stress. This bud has a sweet and spicy fruity flavor with a citrusy exhale. The aroma is very fruity and spicy with a rich floral overtone that’s pretty light and earthy. Destroyer buds have fluffy spade-shaped minty green nugs with dark orange hairs and a coating of tiny amber crystal trichomes.",Sativa,,,12.5,Earthy Citrus Sweet Floral Spicy Fruity,Cerebral Energizing Euphoria Giggly Happy Uplifting Cerebral Energizing Euphoria Giggly Happy Uplifting
21,Sonic Screwdriver,Sonic Screwdriver is a sativa dominant hybrid (75% sativa/25% indica) strain created through a cross of the powerfully delicious,Sativa Dominant Hybrid,25% Indica,75% Sativa,15.0,Earthy Orange Citrus Sweet Diesel,Creative Euphoria Giggly Happy Hungry Motivation Uplifting Creative Euphoria Giggly Happy Hungry Motivation Uplifting
22,Grapefruit,"Grapefruit is a longtime marijuana classic, a heady blend of the hybrid Cinderella 99 and a sativa bred specifically for its grapefruit flavor. With a sativa/indica ratio of 70:30, this strain packs a decidedly cerebral punch, with a major mood boost and intense euphoria. THC levels have been charted at 20%, so this is a pretty powerful strain. CBD levels, meanwhile, are very low, ruling this out as an effective treatment for epilepsy. But it's highly effective at relieving anxiety and depression, as well as pain, GI distress, and PMS. The sweet taste and smell of grapefruit are dominant, thought there are also hints of other citrus fruits. Adverse effects are usually quite limited, though dry mouth and red eyes are possible. Dizziness and paranoia are more rare. Grapefruit is common across the country, sold largely on the basis of its unique flavor and aroma. It's most popular in Colorado and on the West Coast, though it can also be found in other legal markets and the black market. This strain is highly appealing to smokers looking for a strong head high, less so to patients seeking physical effects.",Sativa Dominant Hybrid,30% Indica,70% Sativa,22.5,Grapefruit Citrus Sweet Sour Tropical Pungent Tangy,Creative Energizing Euphoria Happy Creative Energizing Euphoria Happy
23,Northern Lights,"Few strains come with as much widespread renown as Northern Lights, inarguably one of the most popular strains of all time. An inbred descendant of original Afghani landrace strains, Northern Lights is a pure indica. THC levels can reach 16-21%, making this one of the most potent strains available on any market. A couple hits is all it takes for most patient's seeking this strain's powerful body effects, an upbeat mix of euphoria and physical relaxation. CBD levels are less clear, but they certainly aren't high enough to recommend this as a treatment for seizures or other conditions that respond to CBD. Even so, Northern Lights is a highly useful medical strain, effective at treating anxiety, pain, and insomnia, as well as lack of appetite. Cottonmouth is common, as are red eyes, while other negative effects are much more limited. This strain has a sweet, earthy flavor with hints of citrus. Northern Lights is most popular on the West Coast and in Colorado, but it's a favorite pretty much everywhere else marijuana can be found.",Indica,,,18.5,Sweet Pungent Spicy Pine Woody,Euphoria Happy Relaxing Sleepy Euphoria Happy Relaxing Sleepy
24,Laughing Buddha,"Laughing Buddha is a 2003 High Times Cannabis Cup award-winning sativa dominant strain, which is primarily a cross between Jamaican and Thai weed strains. Not only is it an award winning strain, but it is quite different from various other strains you may have already come across before. With THC content around 18%, it has a fruity and sweet smell with hints of spice. The smell is quite noticeable but is equally strong and fresh. However, you have to keep in mind that the nuggets are quite hard. The nuggets are dark green and brownish in color with a thick coating of crystals. As for the taste, it is potent and intense that will leave a roasted pepper aftertaste in your mouth. After smoking Laughing Buddha, you will come to realize it is something out of this world. A strong baked feeling will set in a matter of minutes even though you will not feel sleepy at all. You will be able to stick to whatever you are doing without getting distracted. You will notice an increase in focus and concentration that can help you be more productive at whatever you may be doing at that time. Additionally, it is equally beneficial for patients suffering from insomnia, depression, glaucoma, migraines and nausea.",Sativa Dominant Hybrid,25% Indica,75% Sativa,18.0,Citrus Sweet Pineapple Spicy Herbal Lemon,Creative Energizing Euphoria Giggly Happy Creative Energizing Euphoria Giggly Happy
25,0-0-Swerdlow,"Lanny Swerdlow is a certified nurse and longtime cannabis activist in Southern California's Inland Empire. For several years he ran one of the biggest pot shops in Riverside, Cal., until the city forced him to close up shop. The marijuana strain that bears his name is a pure sativa (100:0 sativa/indica ratio) with a strong sweet flavor and aroma. As a sativa, it has low CBD levels, too low for use in treating symptoms that respond to that chemical. THC levels are unclear. But o-o-Swerdlow is known to produce a strong heady effect, with a blend of energy and relaxation. The high is very happy, with mental relief and a strong case of the munchies. This strain can be used to treat anxiety, depression, irritability, lack of appetite, nausea, and GI distress. Negative effects are likely typical for a sativa, with dry mouth and red eyes possible. Swerdlow the strain, like Swerdlow the man, flies mostly below the radar. It's probably most common in California, where Swerdlow operates, but it's hard to find almost everywhere else, including the black market.",Sativa,,,,Sweet,Energizing Happy Energizing Happy
26,101 Headband,101 Headband is a slightly indica dominant (60% indica/40% sativa) hybrid strain crated through crossing the infamous,Indica Dominant Hybrid,60% Indica,40% Sativa,12.0,Fuel Sweet Pungent Diesel Spicy Dank Lemon Skunky Pine,Cerebral Relaxing Sleepy Cerebral Relaxing Sleepy
27,Citrus Farmer,Citrus Farmer is a sativa dominant hybrid strain created through crossing the potent,Sativa Dominant Hybrid,30% Indica,70% Sativa,30.0,Earthy Citrus Sour Herbal Fruity Skunky Pungent,Cerebral Energizing Focus Uplifting Cerebral Energizing Focus Uplifting
28,Super Silver Blue Magoo,Super Silver Blue Magoo is a sativa dominant hybrid strain (70% sativa/30% indica) created through crossing the classic,Sativa Dominant Hybrid,30% Indica,70% Sativa,22.0,Earthy Sweet Rose Floral Spicy Fruity Herbal Berry Flowery Pine,Euphoria Happy Hungry Relaxing Uplifting Euphoria Happy Hungry Relaxing Uplifting
29,Blueberry Diesel,"The CBD content in this indica-heavy hybrid (40:60 sativa/indica ratio) is a bit higher than average, but not high enough to recommend it for seizure disorders or other conditions best treated with CBD. THC content, on the other hand, is relatively high, about 15%, making for a peppy but soothing high. The effects are deeply relaxing, with a healthy boost of euphoria. Blueberry Diesel is perfect for moments when creativity is needed, and it makes for a lovely daytime choice. Patients suffering from anxiety and depression would benefit from this strain, as would people with chronic pain and nausea. It's also an effective appetite enhancer for those with wasting conditions. As with most strains, the most likely adverse effect is dry mouth, though red eyes are also possible. A child of",Indica Dominant Hybrid,60% Indica,40% Sativa,15.0,Sweet Blueberry Diesel Sour Berry Skunky Pungent,Euphoria Happy Relaxing Euphoria Happy Relaxing
30,Trainwreck,"Trainwreck didn't get its name or claim to fame in the marijuana community for no reason at all. This exhilarating hybrid strain has mind blowing components that will hit you like a train after just a couple of hits. A combination of 2 sativas (Mexican and Thai) and one indica (Afghani), this strain is nothing short of a mental roller coaster ride. Although Trainwreck is mainly sativa dominant (80:20 sativa/indica ratio), you can expect a mellowing body high in addition to a cognitive high that administers imaginative and inventive thoughts. Patients commonly use Trainwreck to relieve pain, PTSD and stress. You can smoke this strain comfortably throughout the day even with its super high potency. It's long green leaves are accompanied by a pine/citrus aroma that can't be mistaken. You can expect a noticeable after taste of lemon with a slight cough when inhaling this strain.. There's definitely a heavy amount of trichomes (hairs) on this strain which gives it a light green color and sometimes a subtle hint of gray.",Sativa Dominant Hybrid,20% Indica,80% Sativa,21.5,Earthy Sweet Pungent Herbal Lemon Pine Woody,Creative Energizing Euphoria Happy Uplifting Creative Energizing Euphoria Happy Uplifting
31,White Rhino,"White Rhino is a potent Indica strain, and is easily recognizable with its short to bushy, light green to dark green leaves. The nugs are a hue best described as being silvery white and it is well known for its potency, which comes with a high that is hard and fast, mostly due to the high THC content which ranges from 14-20%. With its background of White Widow and a North American Sativa plant, it's also known for its powerful aroma, which is a mix of an earthy, bitter, and would like to smell. It's perfectly common to experience feelings of laziness, happiness, and euphoria after smoking this strain of weed, which is why it's primarily used in the medical world to treat stress, pain, and insomnia. The primary negative effect of this strain is dry mouth, although dry eyes is a possibility. This strain is also known for being particularly durable, being able to be grown in extreme climates.",Indica,,,17.0,Earthy Sweet Spicy Pine Woody,Euphoria Happy Relaxing Sleepy Euphoria Happy Relaxing Sleepy
32,High Mids,"High Mids is a 100% pure sativa hybrid strain with unknown genetics due to how loosely the term is used among cannabis growers. The term ""high mids"" is often used among the cannabis community as a way to refer to strains that are on the border between mid-level strains and top shelf strains. Because of this, the High Mids strain is often confused with the general term ""high mids"" among many cannabis users. This dank bud boasts a moderate THC level ranging from 14-17% on average and a myriad of primarily sativa effects. Users describe the High Mids high as one that is hugely uplifting with a potent head rush and an almost overwhelming burst of creative energy. This is accompanied by an intense case of the munchies and mild couch lock with a sense of ease. Upon the come down, you'll be hit with a powerful crash that leaves you completely sedated. Due to these potent effects, High Mids is said to be an ideal strain for treating patients suffering from conditions such as chronic anxiety or stress, appetite loss, and insomnia or other sleeping disorders. High Mids has an aroma and taste of skunky peppery hash that intensifies upon exhale. These buds have medium-sized dense dark olive green nugs with a spattering of dark red and orange hairs as well as thick chunky trichomes.",Sativa,,,15.5,Earthy Harsh Peppery Dank Hash Skunky Pungent,
33,Chemical Weapons,Chemical Weapons is an indica dominant hybrid strain (80% indica/20% sativa) created through a potent cross of the classic,Indica Dominant Hybrid,80% Indica,20% Sativa,25.0,Earthy Citrus Chemical Diesel Spicy Woody,Body High Hungry Relaxing Uplifting Body High Hungry Relaxing Uplifting
34,Paris OG,"Paris OG is a relatively rare medical strain, though it can be found in at least one Southern California medical marijuana dispensaries. It's an indica-heavy strain, though the exact ratio of sativa to indica isn't widely known. THC levels are said to be fierce, surpassing 19% in some tests, while CBD levels are considerably lower, less than 1%. That's much too low to recommend Paris OG as treatment for epileptics or other patients whose conditions require CBD. Instead, this strain is a useful means of treating depression, glaucoma and eye pressure, headaches, muscle spasms, and nausea. The full, heavy body high is calming and sleepy, so Paris OG is also good for insomnia, and it induces euphoria, happiness, and a tingly sensation. Expect a woody diesel smell with hints of flowers and pine needles, matched with a flavor of flowers, citrus, and pine. The nugs are huge and sticky. Negatives aren't commonly reported, but dry mouth and red eyes are usually the most likely. Though its name suggests French roots, Paris OG sells best in the American Southwest and Michigan.",Indica,,,19.0,Citrus Diesel Floral Lemon Pine Woody,Euphoria Happy Hungry Relaxing Sleepy Euphoria Happy Hungry Relaxing Sleepy
35,Super Sour Diesel,"Super Sour Diesel, also known as ""Super Silver Sour Diesel"" to many members of the cannabis community, is a 100% pure sativa strain that is a potent cross between the hugely popular",Sativa,,,21.0,Citrus Sweet Diesel Spicy Sour Herbal Pungent,Cerebral Energizing Euphoria Happy Cerebral Energizing Euphoria Happy
36,Opium,"Opium is an evenly balanced hybrid (50% sativa/50% indica) strain with unknown genetics due to breeder secrecy. This bud was the 2nd Place Winner at the 2008 High Times’ Cannabis Cup and boasts a THC level of up to 18% on average. This award winning bud is characterized by an extremely uplifted cerebral high felt behind the eyes and in the forehead without the crash typical of a strong sativa. You’ll feel insanely energized and focused with a sense of motivation and purpose that leans towards psychoactive tendencies at times. This cerebral effect is anchored by a relaxing indica body buzz that serves to keep you tethered to the earth as you mood soars to new heights. Due to these powerfully uplifting effects, Opium is said to be perfect for treating chronic fatigue, mild to moderate cases of depression, headaches or migraines, and chronic stress. These buds have a delicious aroma of fruity fragrant grape with a flavor of sweet fragrant grape with a hint of creamy fruit upon exhale that gains a buttery smooth taste. Opium has small round super leafy bright lime green nugs with long thin clear hairs and a fine layer of sandy milky white trichomes.",Hybrid,50% Indica,50% Sativa,2.0,Earthy Sweet Grape Spicy Herbal Creamy Fruity Skunky Fragrant Nutty,Cerebral Energizing Euphoria Focus Happy Relaxing Uplifting Cerebral Energizing Euphoria Focus Happy Relaxing Uplifting
37,Platinum Cookies,"Platinum Cookies, also known as “Platinum GSC” or “Platinum Girl Scout Cookies,” is an evenly balanced hybrid (50% indica/50% sativa) strain created through crossing the classic",Hybrid,50% Indica,50% Sativa,22.0,Sweet Candy Spicy Dank Berry Musky Nutty,Body High Relaxing Uplifting Body High Relaxing Uplifting
38,THC Bomb,"Don't let the name fool you: THC levels are definitely strong in this strain, higher than 20% in some cases, but THC Bomb doesn't exactly deliver an explosion. In reality, it's a useful but not exceedingly potent medical choice, name notwithstanding. Use this strain to treat anxiety, stress, chronic pain, premenstrual syndrome (PMS), and sleeplessness. The indica-dominant effects (sativa/indica ratio unclear) are perfect for late nights or rainy days – calming and sleepy but also happy and hungry. That makes THC Bomb an effective strain for alleviating clinical lack of appetite. It isn't such a good choice for patients who need CBD to treat seizures or other conditions, as this strain definitely isn't known for its CBD levels. They're not widely reported, and that alone recommends against this strain as a source of this chemical. THC Bomb has an earthy, Skunky taste and smell, with an additional sour flavor. The nugs are loose and green with orange hairs. The most likely side effects include dry mouth, dizziness, red eyes, headaches, and paranoia. THC Bomb can be found in the Pacific Northwest, Alaska, and Colorado. It's popular enough that it's not hard to find in most places, including the black market.",Hybrid,50% Indica,50% Sativa,21.0,Earthy Citrus Sweet Sour Lemon Pine Woody,Energizing Euphoria Happy Relaxing Energizing Euphoria Happy Relaxing
39,Pineapple Express,"Pineapple Express is a Sativa dominant strain with a 60:40 sativa/indica ratio. The strain is quite popular and has achieved recognition thanks to the stoner film of the same name. However, you have to keep in mind that the strain is not as intense as the movie has made it out to be. But Pineapple Express still manages to offer a mild and nice body-numbing buzz, which is something to look forward to. The strain is offered in the form of well-weighed nuggets that look like Styrofoam popcorn. It does not taste sweet, but it does smell funky with its citrus overtones. The taste is quite extraordinary with a hint of pineapple while you inhale. Pineapple Express is chosen to treat a lot of medical problems including anxiety and stress. However, it is even more effective at curing the symptoms of chronic depression at the same time. If you are suffering from mild pains and aches, you should look no further. After a smoke, you will realize Pineapple Express is calming and stimulating at the same time. Not only will it heighten all your senses but you will feel energized all the while observing an increase in focus, awareness and creativity.",Sativa Dominant Hybrid,40% Indica,60% Sativa,25.0,Earthy Citrus Sweet Pineapple Tropical Pine,Energizing Euphoria Focus Energizing Euphoria Focus
40,Diamond OG,"A diamond is something that is truly invaluable so how can you really expect this strain to be anything less? There is nothing ordinary or normal about the Diamond OG, which is quite apparent from its effects. It is a very potent, long lasting strain. It relaxes the entire body instead of just the mind. This allows you to fall into a desired state of laziness. It can also make you euphoric and lazy which means it is perfect for a lazy day off. The strain looks beautiful due to its sparkling condensed buds, which also have a very strong aroma. It is quite effective against muscle spasms as well.",Hybrid,50% Indica,50% Sativa,17.0,Citrus Sweet Skunky Pine Woody,Euphoria Happy Relaxing Euphoria Happy Relaxing
